# VibeSync — candidats noms d'application (5 lettres exactement, ASCII a-z)
# Format : mot  # famille / intention
# Vérification de disponibilité .com via RDAP Verisign (registre officiel).

# ── FAMILLE VIBE ──
marvo   # marvel + -o
vivio   # vivre + -io
vivia   # vivre + -ia
aphro   # aphrodisiaque
orfeo   # Orphée (italien)
orfeu   # Orphée (portugais)
lyrae   # lyre (latin)
nebul   # nébuleuse écourté
auria   # aura + -ia
vivat   # latin "qu'il vive"
vivra   # français "vivra"
vivon   # vivre + -on
sopra   # italien "au-dessus"
lulla   # berceuse
lulli   # berceuse -i
embra   # ember + -a (braise)
ambra   # ambre (italien)
ambar   # ambre (hindi/espagnol)
ambre   # ambre (français)
dovia   # dove (colombe) + -ia
kupid   # Cupidon en k
krush   # crush en k
flyrt   # flirt stylisé
winky   # clin d'œil
shyne   # shine + -y
